LocationDescription,Condition,Visibility,Drifting,Region,RoadwayName,EncodedPolyline,LastUpdated
From Highway 21 to Tobermory,No Report,Good,No,WR - Clavering,6,}}_oGji}lNr@bLNtCjAbSpArSl@xJfB`ZHxAf@xIb@pI\fIt@`P?NM`AMlAIFKbADNCTCvDhAhQt@xLl@dLH`@HVHR|AzAxPvOjBvCbBzFCJFR^hADRH?xTlu@lAhFZ~CDjJq@pI_Fzb@YpGE|AIjBEnBe[bEmIfAsRhCiXrDmATA?SFUFOHA@SJc@^OPORW`@CFMVCHeNt_@_eAbxCcf@zuAsHbTcI`UmN|`@]~@eEvLe\|~@ui@h_B}B|CaHlFo@p@c@x@_@`AUfAQbD@tAZvHA\Ur@e@vAqB~FIVc@nAeA~CaBxEmDnK{GrRGLqa@tmAay@j`CKv@Id@Ed@Gd@Ef@EfAAl@?zAJnIHvHG?uBHgABgGPmf@|As{@fCqPd@aSl@mOf@oRf@y^fA{`@jA{Y|@cIRo@Bu[~@}tA|DyJTsQf@ebA`DkKZuCHC?u`@bAgaAjCwM^k[z@mJZmJRoFRce@pA_R`@ig@bAiN`@id@tAs@DQBC@E?SD[HYHYLWLYPWPSPi@h@aBhBc@b@kAvA?@IJSZABOXO\O^O`@WbAKb@Id@Gb@KjACf@Ad@?tA@^`BzaAh@~Zt@rg@f@d^\bYHfH@^?hBAt@AVAj@KlBIt@Gt@Kt@Kr@ET?BOr@Op@On@Qp@Sl@k@zAUj@Yh@Wh@[f@Yd@]d@]b@?@]^_A~@_@Za@Zc@Xa@Vc@Tc@RA?ivClpAeg@tTyShJ_m@tW{RtI_aA|a@kTfJaFpB_DnAud@zOcMnEsSpHqI`DoQ`HuLpEy\|Mc_Af_@ug@jT_bAda@ujBnu@q_@hOiiAld@o_@lOyWtKcQlHg_@jO{L~EyLpEccA|]eLnEeuA~i@iMjFgFzBoVdKq\pNgu@zZwWlKsr@|Ya^bOe\lMmYvKis@pXgWxJA@m@VwAv@sA~@EBg@^?@a@^i@d@KHQPy@~@c@h@c@j@cAzA_@p@[h@CFOVMXINSd@[r@ABEL]|@Qh@GR[~@W~@W`AQn@eEvP{Jda@un@dgC]nA_@rAa@pAc@pAc@nAMXWr@g@lAoAvCk@hAOXiNpXkDhHuA~CkA~Ce@pAkAtDcAdDm@pBo}A`kFsT|t@Mb@_AnCSj@w@hBMV[p@]n@_AzAa@j@a@h@c@h@c@d@e@d@CDg@d@kMfLaEnDuPfOiv@vq@mqAzhAGDi@b@i@^wAz@[Pg@T_@Nm@To@Tm@Po@N_BZ_@DuAJUBg@B}@@]?WAY?m@Ci@EQAs@Iy@My^mGkt@aMed@}HuAUIAo@Go@E[CcBCs@@s@BsAHC?o@Hm@Jo@Lm@Lm@P{Af@k@VwAr@k@\i@\i@^[VkO`N_@Zi@f@g@h@kAvASX?AMNa@l@a@n@_@n@_@p@]r@Yl@gu@|fBq^rz@uLrXqCtGELCFoTdg@_q@h}A{l@zvAwMj[}DhJcJhTo`@f_AiFbMmRtd@up@d~AoLhYiDbIiHbQsJpU}a@`cAoG~NwQdb@o`@~~@gBhE}J|UcNt\k\jx@oEvK{LzYmZ~s@eMlZcRhd@kApC{CxHoDlIqR~d@k@hAa@v@y@rAw@hAu@|@uHjJg_@vd@eVbZsErF_HrI_CpCKPEF,2025-07-14T14:49:16+00:00
From Fergus to Mount Forest,No Report,Good,No,WR - Harriston,6,i`yiGnptiNmNjTag@|v@k_AxxAqObUoCzEsHjLsL|P{FdIeMxRyEzHuDbH_Ol\oDlHk[ln@{EzHmZne@aCnFcBrFy@~DiAzH{AhIgB~F}Lza@wAtCmBbDaCbDyFrFgNzGsLpJ}DhDcD`CgFhD_GtCkH`DqJ|D{IvD{FpCe^lSyJhGyErDiG|Hud@fs@wS~[qr@ffAeCfDwEvE}CzBkCxAqKrFcDtBis@`j@uFfEmAhAgDxDqAhBwAdBw@jAgBrCk@`AaA|Au@bBOHIRqFvIQf@k@p@eA|AwErHmAzKwBnReEh_@cAdIYlAw@lCaAzBeFdIaNzSmFpIgAjBwIdNqB`EwF|OuLt]mBbF}@nBaAfByIbNa@n@oHdLcOrU_CfDgAnAkAhAoA`AuAv@mD~AwAx@wA`AoAhAmArAiAzAoMdS_DfEoApAkA`AyDpCq@f@{OjLqOlLy[pVgPxLiKnI{CdDgAxAaTn\iTh]un@bbAuNnUgK`PkHlLghAvfBU\qLfRgYhe@aX|b@uFnK_HrN_AxBuB`GeChI_BxEu@dB}@~A{@zAiAnAiBzA_BbAeE|AyAj@mCxAiAx@m@n@[VcApAcB~Cs@~Aq@xBm@bCUnAi@jE}B|WY|CWlB[hBc@fBwOxg@iRrm@yTdt@wAbEgBtDy@rAwBzCyB`CqCzBmFhCcf@~SwAt@qA|@yPrMgDvBoD`BaJzDsDxAq@Ni@Pc_@lG_N`C,2025-07-14T14:59:08+00:00
From Atwood to Harriston,No Report,Good,No,WR - Harriston,23,{boiGxromNwGwE{FgEiHeFWQ{EmD_FmDqEaD}x@il@aq@cf@sDcCqLyIkHmFww@gl@o@g@uKcIyaBwlAgFsDkHgFwLqIqIgGa@W_a@iYgQaMuAcAgBoA|BcHlBkGb@{Ap@sBl@wBpEuN|E{O~AgFt@_Cl@{ByDqCsDiCyEoDcBoAeCgBg@c@aEyCoDiCmDkCUQ{GcFa@[oK{H_Ak@ePyLi\eV_HgFsFaE_|@so@od@g\_MiJgFaEiDoCwDyCwDuCgRcMkkB{tAopAm_Ai@a@ap@ue@_kAuz@kFaEgAgAcAoA}@wAw@{Aq@cBu@}Bo@}Ck@qEsA}SKH}@T_BTmBh@uv@~OsGfAof@~Gsu@jKkm@dIi@JyJpAmqBjXqhA|Oe`@hFiEl@g@yIc@_Hc@qDWwAa@wAg@sA}@gBoAkBqBoBiBsBkA_Aa@_@gEmEQQ,2025-07-14T14:59:08+00:00
From Mount Forest to Harriston,No Report,Good,No,WR - Harriston,89,{jpkGndwjNN`BHpBPfJNrELhCpDto@vDxt@`HfnAvCtj@nDlo@vArWvAzYrFvaA~@bPrApVlB~]^vFJrAP`CrEfz@`Ers@r@tLpDxo@tDzm@zKxhB\tGbBbYXzFb@tFz@fOLtAfCra@nAzSd@vHNlD`@`GRlDPpCF|@FxAL`ALhB~@pNJtBf@`If@nHBTX`GHrAd@jIb@xGbAhPh@hI~@tO|@lObBfWh@hJLxAFlC`Dbf@ZpGfBxXLbC`@dGdG`bAfDjl@DxAxDto@lCxd@ZvGFlCDxGErIM|EMjCkCv_@I|B?xC@bB`@vFvB~JZnAHn@bAvDNfAdB~GhFdUPn@|AzHz@pFp@`Gf@~FJfCd@`G^vGFjCtBh]xBd`@r@nM\fEDrAb@vG@|@ZzFRzBZ`FLjD`@jGBtAJ~@^fHTrBFjCxAtVf@tEd@bCh@~Bt@rB|@rBt@pAbArAhAnAvBdBdCjA,2025-07-14T14:59:08+00:00
From Bay-Lee-Mac Rd to Earlton,No Report,Good,No,NER - Haileybury,11,gmd_HboseNqBMaB?eBFcBRcE~@{DbBoA~@}AhAuArAsMbMsEtEcK|J_DpCoAbAeDdCgDxBuMpIaCzAyE~CkG~DKDmXhQyI|FqC~BmAnAgAvAiCdEaAnB{@vBw@|B[jAGRMh@e@|BoAjGk@`Cq@~Bu@vB{@vBaAzBaBhCsA`BaCfC_EhEmGlGmBtBoAnAmAz@mAf@sBx@mCfAgBt@_Bb@eBRe@Aq@CeBE}@QWM}Am@kGgDgBq@o@O_@I_BK_BB}ATiAZOFkGxCa@R_GrCiDlCwC|CyS`T{C|DcCrE_CbF]h@Wv@gEfJw@|A[l@m@l@iAnAmA|@iAl@yEzCuDlBgAn@mDfBQHoC`AqI~CoDfBuC~AeAr@gEnCkErCIDu@d@aF`DcCdB}DdCqBpAQJgPhKeI|Eg@ZqIlC}MvDyHzBw@JuDp@mBPeBNsE`@A?_@FyGl@{E`@eBPaAHuEd@{AV{Af@uAn@uA|@oAfAkArAeAxAw@~Ao@tAwAlD_@x@s@vAIHWd@}@bA{@l@cBfAwBlAkBhAmAz@yBzA_@\iHzGe@f@cBzAgCzAYHkA^}JhCqAd@KD}Aj@wBjAw@d@wChCsF~F}BfCiAjAaAz@kCfBwCnBuBhAm@ZQDwAb@y@L_DL_I@cI?s@@uG@mD?w@CoAIKAk@Ic@Ew@Qy@S}@UkAg@{Au@[OYSs@e@oBaBeBeBwIwJIGIIOQo@w@oEcFkE{Ei@o@QOe@k@wGsHIE_QwR{BkCy@aAcAoA_AmAuAiB}BeDiE}GoEgHcBeCeFsGkAuAyAiByBkDw@}A]w@IO}@cCi@wAo@gCg@wBwLcl@g@_CcBuFuB}E_AeBoMqSgBsCiUk^eCuCuAqAsB_BeCwAwAm@mFmBiHkCs`@uNeBo@aA_@aA]qDmAch@gRy_@iNmT_Iqe@{P{Z_Li\uL_Bm@{HqCeBo@sCw@_Do@iGu@}AM}DI{DHaBF_Ix@gEl@oKhAq@?wBF}DAuACyBMcEg@aEu@}Aa@{Ae@oDuAkGuCoCqAmTkKiSuJiAe@u@]eP}HqIwDsDiAe^mJwDsAsDgBsDsB_FwD{GiGoCiCYWqVeUgNeMiDqCwAcA{A_AuDoB{YkN_yAmr@yHsDc@OsBcAuAq@_MaGyv@__@qVkLuAo@oDoAyA[cC[mDOkP]u]s@eECwEOsKWc@CgGMc@?q@Aw@GwA[QG{Ac@OI}@k@[WiAaA][]]i@q@qAiC{@sBmCgHy@{Ba@oASu@mA}EQg@q@iBwBqEuC}FcBkDyEmJsGwMyKyTmAcCaBqCuBmCcAcAuAmA_BqA}@e@yCoAiAc@eAYgASoCW{GGoQDyE?{EDgN?g\B_GB_H?w@CgSF}^ToG@aA?sBA[@aA?aGB_DC_EAaVHmABgKDcG@ab@V}CBsBCgAAsBIqAGeBOiC_@gF}@uGu@{AIsBEsBByFCa\JcF@eF?yABQAqEDw@AYEcGDeLFuK?mA@kHBsPBoKAyGAqLAws@EkG@o\?qz@AyFE{FBsBfA_@Tk@ZeC~AwCzByC`DgBdCmBdDMVyApDmAbD_DxJaDlJmFnOeJvWuGhRoa@pkAw@pBoDnKgX|v@aa@fkAwLv]{CxIeCdH}AjEyAzC}I`RePj\cN`YsQ|^sJxRs@vA,2025-07-14T14:59:14+00:00
From Quebec Border to New Liskeard,No Report,Good,No,NER - Haileybury,65,e}naHlwidNcATkAHcIAsAFoATkAf@gAv@_AdAu@vA}ChHcTjg@}BbEgCjDiC`DmL~NyBzDq@dBk@hBe@jB_@jBk@~ESnECpE?h`BAz@A|gAIxBKdAOx@_@bBo@dBiGfNk@dBa@hBSvBIzBiBl_A@|BPvBZtBf@fBr@`BlClD|GrHfNxOpAnAtA|@vJhE~Aj@|A\`BN~A?~AK|A]vAm@vAy@rAkAfP_PnAgApA}@xAi@xAYxAKxGEnf@@tk@Erz@?vLDlARjAb@fAt@`AfAx@rAp@dBVdA^jBTfEb@`jABdCHdCT`C^zBj@tBt@dBz@~AdAnAhAdAz@d@bBp@nATrAHvfAKrt@I`O?~QNjUBvm@HlDBpAHnA^lAp@fAbA|@rAdAbCZlAZtBLzBB~BAtkB@dJDpG\pK~@xONvGIxGi@fL[dLCjC?fYGrKO~cC_AAEFyY@_L@o@JSLc@l@Sb@,2025-07-14T14:59:14+00:00
From New Liskeard to Thornloe,No Report,Good,No,NER - Haileybury,65,_fbaHznheNSb@xCnA|@d@~ApAtAlAbAbAtBlC`BpClAbCxKxTrGvMxElJbBjDtC|FvBpEp@hBPf@lA|ERt@`@nAx@zBlCfHz@rBpAhCh@p@\\\ZhA`AZV|@j@NHzAb@PFvAZv@Fp@@b@?fBDbEJ_Qb[sBvCqQ|TcCrCgClCoGzFmK`JiCdCaAjA}@tAy@`B{IxQcAvAgAhAmAt@mAh@qAZsALeW?kAFgAReAXmAp@mAx@iAlAuArB_AtBy@~Bm@dC]fCUtDAfB^|`BDdOCjKK`G_@hOSzKGvaAElb@Grd@Dx{@PrdC?veAIb~@@`BG`CK~BOrBu@|Ec@nBi@jBq@dBy@dB_AzAcAtA_TzV}CzDiA`BmCpEaAjB_CzEoLhW_AfB_A`BgAvAkAnAoA`AoAt@mC~@]LwATaBLkyA_@szA@syAVsxAj@uSLkeA\y~@EmD?sAHwAVqAf@oAt@iAfA_AnA{@zA_AdC]pAa@rBW~BI`CKvgAGbCq@rKIjCAfCDlBLpDRlERvFDnDB~}@Plf@,2025-07-14T14:59:14+00:00
From Tri-Town to Cobalt,No Report,Good,No,NER - Haileybury,11B,{ed`Hh|xeNAuAQ_Bo@yAe@{AcAmDa@aB]iBWsBQwBIkBiA{e@_Aqc@Cy@OeHi@mUKsBWoBc@gBs@aBkG}L_BsCe@o@aB_BwL{HeAaAyBcDu@aBm@iBe@mB]qBSsBKqBKcFUu[KeBS}A]wAg@oAcKkTq@uA{K_Rq@sAi@wAa@_BiBeLUoBSoBEmBDmBNkBVeB`@}AvCyI\yAf@uDvAoNF{B,2025-07-14T14:59:14+00:00
From Thornloe to Kerns,No Report,Good,No,NER - Haileybury,562,gb}aHb|teN@toC@nI?~Y@duAAtdCC|dCDzvC?h|DDl{@~xAEd]FrLEzm@@NG,2025-07-14T14:59:14+00:00
From Belle Vallee to Englehart,No Report,Good,No,NER - Haileybury,569,}}vaHxiheNwDBeH?{yAYia@OcR@oDKaFiAcAAgAF{IpAkHf@_EHcsA?_ZE}RDmh@CiFBmADwCZ_FdAkCv@wGzCaC|AaChBwDhDsh@bg@iFrEsAz@sAp@qL~E{F~CiIbFi[~S{EjDcAbAuKfMm@f@yAt@gBP{CDeDFwFC}B[oEcAeAQuEAaOJ{[CeyADgxA?y`@Esl@[wWGulAA@NEhrAGxa@@tODfcBAf]ElCDtBCdVBpUNlP?nJMrQ?pFC|FAhT@b@BvdCDjeCAvNLvwA?~UF`Eb@pC,2025-07-14T14:59:14+00:00
From Thornloe to Earlton,No Report,Good,No,NER - Haileybury,571,gb}aHbtefNiUPsQFqo@D{yAAon@L{XAuCA}DE}DCqDAqD@wc@AiA_@_@Em@CmBD,2025-07-14T14:59:14+00:00
From Haileybury to Mowat Landing,No Report,Good,No,NER - Haileybury,558,aou`HtcyeN?FGhB?dNIh\I|JOxFAzBHxFNzF@dCE`[?pjBDza@HhdADbbBHv~@CxfCDnkAEtc@@vBBzc@a@t[B`OCvm@?pEBdg@A``@AzKBfn@AlW@noA?nh@KnAUhAKTWl@gCzD{JrNm@|@oAlBa@v@Uz@Kp@EfA?xA^lMJlAd@tCLnAPzCAhAIhAU`A]v@oBbD_ApBWz@M~@IbACzCS~^Wrc@KnEOlA_A~DWhA,2025-07-14T14:59:14+00:00
From North Cobalt to End of Hwy,No Report,Good,No,NER - Haileybury,567,agj`Hpw{dNrD{Ej@eA`@wAn@mCpAuFrAeHz@uDb@kAn@w@p@o@~BgBhDgC~GsFpSqNv@u@r@_AxEsIpA_Bp@e@hBy@nGqBb\iKlCWbHOdCg@tHaDnBgAxAaBl@u@tD_FdC_C|C}BbDoE^eAx@aDXsANkAJuAJgDNwMCgBe@sHG_BBsARgAXs@@G^g@d@c@l@WbK_AhAWnC_AbAm@bCkB~R_RfAs@hCoAtEqBbJkDfCy@~@e@z@s@r@y@dGuHrD}D~FoGrA{BpBsGZu@hFyIpCaEtGiHbAu@lAm@xg@gKlFmAjJuCrL_EjFyBvVgLf@U`@OnCiApDgArBu@|JyEtC_BbBiA|KiKzEwDlBaA|Ak@xAe@bG_DjHqDp@i@~AiBbBaBvCgBj@s@HMnE{Hn@o@fBu@fKwCr@a@lCyBp@Q|Iu@t@Qp@]h@i@d@u@hJiPtE{HtAaBtKiLbDuC`CyB`CeCh@a@~A{@|HiAzB{@v@e@dBcBtCmDzAaBdByAjEyE`FoEdBiBf@{@x@gC`@}@f@s@n@_@n@KlDL`A?~@E|@Qx@WlBqAhIsGBCnHeGlA_AHK~L}KfDiDfByBnC}DdCgEj@y@f@aA|A{Ap@YbCo@nBa@~KuA~@I`BBlAd@|GfCpN`EfBXnE^`GrAhN`DzBv@tBrAzHzFhBhAj@TtBf@`AJfBBb@?dMWvDArDJtG`@dA@fAApCi@rC]dLSpEHbAQbA_@~FqD|@_@|@SrNi@`B[p@i@h@w@j@mAtAmD~@_EfBsJhAkFXw@`@_@j@Qf@A|XQ~CBnCE|I@vDGlDc@`AS|@]tK_HzCeBfSuM~@g@~Bo@hRiCx@Bx@Nl@VfAr@v@h@|CfC`Ah@bA^t@LlAE~GuAnBWfACv@Nv@ZhDhC`@r@n@jBj@dAnBtBp@j@r@\fA\`Dl@hANx@Gp@QfCkBt@s@bAkApEiGrEmGJIpM_Q|@kAxCyEhAwAzCuCr@_Ar@iAjB_FbAgClAwBt@}@pBgBpA}@hC}AjB_AbCkAxLmEfAi@fBcA|BwA|BaB~EmEt@aAxAkCl@cB`AeCj@w@~CsCbAgBf@sAZqAJm@Ha@LyACiKJ}AZoBT_AvCmId@qAj@cA~C}DhEwErDoD`As@~XgPTMTKfSgLdFiDrAmArA{A~AeCh@kAd@kAbA}CpAyEZmA~CeLfC}JvBeJb@mAh@kAz@kAbAiAf@m@bAy@`E_EbCwBhCwAzQiGtBe@bBIdAH`ATxAh@~@f@dApAb@f@lElGp@t@v@d@jAVrGVhF~@n@RdBV|EfA`Dh@fAHhA?jAKlTkF|@EhCP~@T|@b@z@r@p@t@tZpa@v@t@z@l@p@XrAZbAH~@E`AOz@[z@g@zAwAhAqAr@a@^s@jBaBdBy@XM~@]|B_@t@?`EHh@F`@PLRHXn@nC`@|BVtAz@~CXl@fAhAh@d@,2025-07-14T14:59:14+00:00
From Earlton to Kenogami,No Report,Good,No,NER - Englehart,11,ep_bH~ayeNgA|B{HvOiB|DuDxHqM~WsRz`@eTfc@Yh@a@x@o@xAsJ~RcIfPQXQd@w@|AQV}@tBii@xgAyErJoBbEoJvRsU~e@iI|Pk@jAoFxKmGbMyA`Ca@f@eArAcAfAmAfAwAhAeAl@u@`@cBr@OFoAZoA^e@D_@JaCNmEJ_DAsK?cBAyA?af@Fk]?yF@sBE_I?i}@FuP@qH@[@yACcLBujACoDA{J@gMAwHBkPAy^@{F?}b@AoY@kBHgDf@qAVuDtA_CvAaAx@eAbAcAdA_AlA_AtAaBdCy@tAcMjSwCxEuFbJiE`Hi@|@}OjW_O~U_D`Fi@t@o@jA{BtDeGxJ{FdJiMtScCjE_@p@y@rBS|@o@`CWjB_@zECxA?|ABzAXjF\rHz@|J~AtU^fGFjBBxCAvDGzB_@zFk@tFaAjFg@lBk@nBc@tA{@vBy@dBkAvBqg@`}@}EnImBtDmAbCoAxByAtBiVnb@qCzEkAdB{C~DgCnCwEjEaD`CiQhLkd@bZqdC``B}H`Fi^|Uwz@hj@{tAp}@gHhEaEtBoDrBk@\sBrAu@n@mAzAIFGHia@~WyAdAqD|CeDjD}CzDqIlL_l@nx@sg@vr@]^sBrCqC~DiIfLmKzNyQ|VsTtZu@~@uFxHkZ~a@cn@h{@{HnKcD|CyCpBeChAe@RcAZm@L_@Fo@Pyt@|KkBTyIxAoDdAsCtAy@j@qB|AaC~BqAjB_BbCkB|Ds@lBc@lAq@xB}ApGgKfb@wMji@gA`Ek@hB}@pBkBxD}@xAa@d@g@x@gg@pp@w@z@}@tAeUfZuCpEe@t@oA~ByA~CY`@,2025-07-14T14:59:20+00:00
From Englehart to Charlton,No Report,Good,No,NER - Englehart,560,wh|bH~grfNr@zATr@P|@H`ABdA?~DAnn@IxSI~BO~Bc@xBm@jBw@bB_ArAuB`AiK~GcAx@{@|@u@hAsD~G~CvC|AxBThB\`B`B~Dl@dBb@hBZnBj@rFZtBd@pBh@pBl@lBfEvLdAhDZdAd@|BXbCNdCDhC?nCAde@QbbB?bj@Crt@PfXD~BLzBVnBb@dBXl@Tf@v@hA|@x@fAj@nAXpABbOuBnCU~@Dx@P|Av@pAfAxAnAlDdD`DzDpXp_@`A`Bv@jBj@tB\|BRbCDfCD|XJlCVbC^|Bj@tBt@hBz@|AbArArDrD,2025-07-14T14:59:20+00:00
From Temagami to Bay-Lee-Mac Rd,No Report,Good,No,NER - Temagami,11,i}`}Gdr{eNsEiCeT_MwDiCyAkAkDcDcEsEsBeC}F{Gk@m@wBwBqBcByAmAiAy@eAm@mAs@qCyAmCiAeE}AoVeImWwI{JkD}HuCoCeAeAU}E{AaEyAaEcA_Ba@eEm@aAKqCMaBCaEC_HN{MTyCCmEg@aBa@aE{AkJgFuDkB_Bk@_Bc@aBYgBQgBGoa@UeB@oHKgBKaBUcE}@cTgFgE[cEI_BBeE^aBX}DfA{DdBg`@lUaKlGmDtCqApAmAvAgAdBcAjB}@pBw@zByFjSu@xBkBlFwBbF}DbIeMvUwJlRcEpHeAbBgA|AwChDoAjAeDhCsAz@qDbBsGxBgGhBuAh@OHaAd@oAv@qA|@mAfA}C`Dg@n@{}@jfAoB~BgFdGwGtH[b@kAbAqC~BgEjDc[xVyDfDkAvAgA`B_AlBw@rBo@|BMl@[rAiC|Nc@fCa@vBaAjDa@tAc@nAk@pAmAfC}AjCqBlC_@`@{AzAkAbAmExB}GdCeYbJ_GjBcPlFqJ~CqDdAsD`@yADyA?sDYsDu@wAe@uAm@qAs@yCoB{K{HiBkAsrAy}@kDyBwOuKu@c@eq@wd@sAeAwB{AqCcBgDgB{DaBiEoAsL}BcC_@g_@aGiBUgBIeBCcBH_BNyAVgF|AgOdF_ErAaBNaAAeAKgAWeAi@gAu@eAcAgCuC_AmA{@sA{AkDyCqKm@wA{@qA{AsAsA_Aq@g@y@WeAOkA?[AsC?yAFyAN{AVsOzCkIdBmNjC_@HcCXuCRwBH_A?oCH_JJ{A?uABuCBuCDkJNuFNeUX_PTyYb@u}@tAS?eCD}CHwEHiBFcD`@qCv@mD~AoCxAiChAg@LgA`@_ATaAR_DRqCDg@CqAK_AOcAQeCo@qAg@sAo@mAs@uAaAk@e@sDwCsH_G}BiBu@u@aAgA{@iAqBeDKWqBoE{Omf@sBmF_CcFiCwEmCkEmA}A{CsDqAsAkDaD_PkLcCeBoAy@yIaG_L{H}AcA}@u@oB_BiByBiBoCcB}Cm@uA{HuR{HmRsHgRaKeWqA}CqAsCeGuJqJyN{@wAw@aBs@eBUq@iAeDg@qBa@uBwB_MQ{@]uAo@oBu@kBm@mAeAcBGG}BmCIE_CcB}@a@}@_@IEiA[}AUSCiGm@}BSkI_AwP_Bq[{CcLeAuDKuGFkDXmBRsDx@mD|@mIdCiJjCeAZuAPqADuA?sAGqAUsA]{Aq@y@g@cAs@iCsBaCeBc@_@iDqC{F}EwCoB_CiAc@SsAc@kDu@uAO}Q}@mJe@}TgAoKe@uDGoDR]FcCd@gC~@uGbC_LbEoA\_ALk@H_AFaBDiCM]KWGyCg@oCk@]ISC{Cc@,2025-07-14T14:59:25+00:00
From Kenogami to Sesekinika,No Report,Good,No,NER - Kenogami,11,es|cHr|rgN[x@mPt_@{B|EaAbBkAfBgArA{@z@mAjAaBvAYV{EbEoC`Cc@Z{AnAeAbAmHnGgJdIkAhAoA|AmAbBe@t@]n@k@jAuA~C{@bCk@`BkChJ}DnMuJb\Oj@w@bCqAhEcA|C}@vBcAvBcAnBgAlBeCfDeKjMsA`Baa@~f@}@|@_ArAqVtZ{RfVcSrV_`AdkAs@dAcFhGeBvB_@^yCtDi@t@qBfCiObR}D~EkMzOoF|G_FpGuD~EwHbK}EjG{@rA}\rd@eEtFc@f@sa@pj@_MlPiDzE}AfCaCfEaKdRaKlR{DhHsDxGmKzRa@x@wOtYqBpDgBrC{@pASVcDfEuF~Fs@p@yPjQ_Az@eGtG[XGDSRcDhDmCnCOR{OlP_DpDgBfCo@z@aFhImHtLeCfE}B~D}ApDuAvDeC`H_ApCuGdR}@~BcA|Bg@`As@zAwApCqB`Do@dAiDpEoCtCwAvAuD|CwDfCkGtDeXjO}BnAy@f@}\jRiEbCsAt@mBz@gEvA_{And@sZfJoEzAgElBaB~@{DfCiBzA_BxAsFxEwZtXqChCoy@`u@ay@vt@iO|M_BbA_Bz@cBr@wBp@uAZq_@vGqEj@sEZkBD}HIqIQkDGa\s@}BEcFKoESgE_@sGsAmc@{K{Bo@q@MuI{Bc}@eU{GcBgB]_Ek@qBMgBIqBCkA?wBB{CTq@Hee@xFuCZoCDuBQiAU_@CYKkH{AcB[yGsAaCc@kB_@eAWeASuB_@kAU{BSkAM}BIeCMcAB{A@uDV[@cBRiEx@kHdBab@pKoH`BiHhAaHr@iH\iEJoKKiEQeE]iH}@it@wMsm@{KyA]cBUkAK{@KgAEqAEgZAwrACiL?wKAmC@uTAwF@_L?{@@emD?sTC_c@?qy@@eDFa@?cCLyAJ}Db@}Et@iE`AqHzBgEdBwJdFgBlAwF|DcDpCaIjIeFtGwCjEaw@npAoJpPqElJ}DzJiOz`@_BlEkD`Ji~@tbCaAhCeEvK_A|BUh@g@|@c@x@o@bAqAfBuAbB}AxA}AnAeBbA}t@v_@_GxCiIfEsq@n]}RbKkDxBiD~C,2025-07-14T14:59:31+00:00
From Kirkland Lake to Kenogami,No Report,Good,No,NER - Kenogami,66,osydHljtgNd@TdUzJjG|B|QjF|Ab@jAh@jAv@fAbA`AjAdA`Bfd@`t@pBnDdBxDhEjMtB`Fr@pArDvFdArAfAnBn@tA~GnSTj@z@`Cx@~AtBzCjBlBnPvLfCnB|@`AtBpCt@vA~A~DbA~DbBzKr@dDfBjFl@zALNXf@h@j@j@ZRDTHpBXz@Vf@`@ZZr@z@`A~@j@Th@JtJ?tAAjAFfBZn@b@j@p@h@|@^jATtAJzABlALzc@DpCVfHb@jHjDld@v@vQj@fQHjHy@bqA@tCVzGdC~`@P|BhA`Ih@jCtDdNz@nE^bCp@bH^`HFpCAjH[dWJrHdBr[bG`p@pBjS`@rBh@jBvEzMp@hBp@bB@?,2025-07-14T14:59:31+00:00
